Date	Hi/Lo	Precip	Snow	Forecast	Avg. HI / LO
Tue 11/1	77°/50°	0.16 IN	0 IN	 	68°/47°
Wed 11/2	78°/50°	0.12 IN	0 IN	 	68°/47°
Thu 11/3	73°/53°	0 IN	0 IN	 	68°/47°
Fri 11/4	69°/55°	0.08 IN	0 IN	 	68°/47°
Sat 11/5	71°/54°	0 IN	0 IN	 	68°/47°
Sun 11/6	77°/55°	0 IN	0 IN	 	68°/47°
Mon 11/7	77°/50°	0 IN	0 IN	 	68°/47°
Tue 11/8	75°/52°	0.80 IN	0 IN	 	68°/46°
Wed 11/9	62°/52°	0.69 IN	0 IN	 	68°/46°
Thu 11/10	61°/49°	0.05 IN	0 IN	 	68°/46°
Fri 11/11	62°/52°	0 IN	0 IN	 	68°/46°
Sat 11/12	71°/52°	0.07 IN	0 IN	 	68°/46°
Sun 11/13	68°/51°	0 IN	0 IN	 	68°/46°
Mon 11/14	74°/52°	0 IN	0 IN	 	68°/46°
Tue 11/15	70°/54°	0 IN	0 IN	 	68°/46°
Wed 11/16	60°/52°	0.30 IN	0 IN	 	67°/45°
Thu 11/17	70°/49°	0 IN	0 IN	 	67°/45°
Fri 11/18	71°/50°	0 IN	0 IN	 	67°/45°
Sat 11/19	56°/49°	0 IN	0 IN	 	67°/45°
Sun 11/20	64°/46°	0 IN	0 IN	 	67°/45°
Mon 11/21	72°/41°	0 IN	0 IN	 	67°/45°
Tue 11/22	73°/47°	0 IN	0 IN	 	67°/45°
Wed 11/23	72°/45°	0 IN	0 IN	 	67°/45°
Thu 11/24	70°/46°	0 IN	0 IN	 	67°/45°
Fri 11/25	71°/45°	0 IN	0 IN	 	67°/45°
Sat 11/26	67°/43°	0 IN	0 IN	 	67°/44°
Sun 11/27	73°/44°	0 IN	0 IN	 	67°/44°
Mon 11/28	75°/46°	0 IN	0 IN	 	67°/44°
Tue 11/29	77°/51°	0 IN	0 IN	 	67°/44°
Wed 11/30	79°/52°	0 IN	0 IN	 	67°/44°